ticker,ticker_type,ticker_adm
HGLG11,Tijolo: Galpões,Credit Suisse Hedging-Griffo
HGPO11,Tijolo: Escritórios,Credit Suisse Hedging-Griffo
HGRE11,Tijolo: Escritórios,Credit Suisse Hedging-Griffo
HGRU11,Tijolo: Educacional,Credit Suisse Hedging-Griffo
HLOG11,Tijolo: Galpões,Hedge Investments DTVM LTDA
HOSI11,Tijolo: Outros,Vórtx DTVM LTDA
HPDP11,Tijolo: Shoppings,Hedge Investments DTVM LTDA
HREC11,Papel: CRIs,Hedge Investments DTVM LTDA
HSAF11,Papel: CRIs,BRL Trust DTVM
HSLG11,Tijolo: Galpões,BRL Trust DTVM
HSML11,Tijolo: Shoppings,Santander Securities Services Brasil DTVM
HSRE11,Tijolo: Híbrido,BRL Trust DTVM
HTMX11,Tijolo: Hotéis,BTG Pactual
HUSC11,Tijolo: Hospital,Rio Bravo Investimentos
HUSI11,Tijolo: Hospital,Planner Corretora de Valores
IBFF11,Papel: Fundo de Fundos,BTG Pactual
IRDM11,Papel: CRIs,BTG Pactual
IRIM11,Papel: Híbrido,BTG Pactual
ITIP11,Papel: Fundo de Fundos,Inter DTVM
ITIT11,Papel: Fundo de Fundos,Inter DTVM
JFLL11,Tijolo: Outros,Banco Genial
JGPX11,FIAGRO,Banco Daycoval S.A.
JPPA11,Papel: CRIs,Vórtx DTVM LTDA
JPPC11,Tijolo: Desenvolvimento,Banco Finaxis
JRDM11,Tijolo: Shoppings,BTG Pactual
JSAF11,Papel: Fundo de Fundos,Banco J. Safra
JSRE11,Tijolo: Escritórios,Banco J. Safra
JTPR11,Tijolo: Desenvolvimento,Planner Corretora de Valores
KFOF11,Papel: Fundo de Fundos,INTRAG DTVM
KISU11,Papel: Fundo de Fundos,Vórtx DTVM LTDA
KNCA11,FIAGRO,INTRAG DTVM
KNCR11,Papel: CRIs,INTRAG DTVM
KNRI11,Tijolo: Híbrido,INTRAG DTVM
KNSC11,Papel: CRIs,INTRAG DTVM
LASC11,Tijolo: Shoppings,BTG Pactual
LGCP11,Tijolo: Galpões,Inter DTVM
